scene_a,scene_b,same_family,same_expected,same_majority,mid_raw,final_raw,final_minus_mid,mid_centered,final_centered
scene_fc_blocked_v05,scene_lift_and_relocate_v01,False,True,True,0.9915615003,0.9860761642,-0.0054853360,-0.1830990444,-0.1183916355
scene_fc_blocked_v05,scene_lift_and_relocate_v02,False,True,True,0.9892624929,0.9814188032,-0.0078436897,-0.3956523701,-0.1707132278
scene_fc_blocked_v05,scene_lift_and_relocate_v03,False,True,True,0.9872334363,0.9757996757,-0.0114337607,-0.6100707164,-0.4377819531
scene_fc_blocked_v05,scene_lift_and_relocate_v04,False,True,True,0.9930305457,0.9904618574,-0.0025686883,0.0546862818,0.4419520475
scene_fc_blocked_v05,scene_lift_and_relocate_v05,False,True,True,0.9834437313,0.9716582799,-0.0117854514,-0.5634021425,-0.4711513867
scene_translate_v01,scene_translate_v02,True,True,True,0.9918024887,0.9901611834,-0.0016413053,0.0483794448,0.5618444211
scene_translate_v01,scene_translate_v03,True,True,True,0.9885075243,0.9835853636,-0.0049221607,-0.1655284075,-0.0861043978
scene_translate_v01,scene_translate_v04,True,True,True,0.9931712091,0.9921818354,-0.0009893737,-0.0011538805,0.5982111429
scene_translate_v01,scene_translate_v05,True,True,True,0.9930101677,0.9808154056,-0.0121947622,-0.1661632260,0.1767495114
scene_translate_v01,scene_rotate_v01,False,True,True,0.9931922431,0.9835687985,-0.0096234446,-0.0105566851,0.0018569051
scene_translate_v01,scene_rotate_v02,False,True,True,0.9936908075,0.9801344246,-0.0135563829,-0.0081749503,-0.2735757119
scene_translate_v01,scene_rotate_v03,False,True,True,0.9910412455,0.9853256278,-0.0057156177,-0.1684281086,-0.0399721885
scene_translate_v01,scene_rotate_v04,False,True,True,0.9929260202,0.9828208917,-0.0101051285,-0.0856999818,-0.2351843855
scene_translate_v01,scene_rotate_v05,False,True,True,0.9912170873,0.9826368412,-0.0085802461,0.0283262010,-0.1345752693
